borough,state,zip
BROOKLYN,NY,11234
BROOKLYN,NY,11235
BROOKLYN,NY,11236
BROOKLYN,NY,11237
BROOKLYN,NY,11238
BROOKLYN,NY,11239
BROOKLYN,NY,11241
BROOKLYN,NY,11242
BROOKLYN,NY,11243
BROOKLYN,NY,11245
BROOKLYN,NY,11247
BROOKLYN,NY,11249
BROOKLYN,NY,11251
BROOKLYN,NY,11252
BROOKLYN,NY,11256
BRONX,NY,10451
BRONX,NY,10452
BRONX,NY,10453
BRONX,NY,10454
BRONX,NY,10455
BRONX,NY,10456
BRONX,NY,10457
BRONX,NY,10458
BRONX,NY,10459
BRONX,NY,10460
BRONX,NY,10461
BRONX,NY,10462
BRONX,NY,10463
BRONX,NY,10464
BRONX,NY,10465
BRONX,NY,10466
BRONX,NY,10467
BRONX,NY,10468
BRONX,NY,10469
BRONX,NY,10470
BRONX,NY,10471
BRONX,NY,10472
BRONX,NY,10473
BRONX,NY,10474
BRONX,NY,10475
QUEENS,NY,11101
QUEENS,NY,11102
QUEENS,NY,11103
QUEENS,NY,11104
QUEENS,NY,11106
QUEENS,NY,11109
QUEENS,NY,11120
QUEENS,NY,11351
QUEENS,NY,11352
QUEENS,NY,11354
QUEENS,NY,11355
QUEENS,NY,11356
QUEENS,NY,11357
QUEENS,NY,11358
QUEENS,NY,11359
QUEENS,NY,11360
QUEENS,NY,11361
QUEENS,NY,11362
QUEENS,NY,11363
QUEENS,NY,11364
QUEENS,NY,11365
QUEENS,NY,11366
QUEENS,NY,11367
QUEENS,NY,11368
QUEENS,NY,11369
QUEENS,NY,11370
QUEENS,NY,11371
QUEENS,NY,11372
QUEENS,NY,11373
QUEENS,NY,11374
QUEENS,NY,11375
QUEENS,NY,11377
QUEENS,NY,11378
QUEENS,NY,11379
QUEENS,NY,11380
QUEENS,NY,11381
QUEENS,NY,11385
QUEENS,NY,11386
QUEENS,NY,11405
QUEENS,NY,11411
QUEENS,NY,11413
QUEENS,NY,11414
QUEENS,NY,11415
QUEENS,NY,11416
QUEENS,NY,11417
QUEENS,NY,11418
QUEENS,NY,11419
QUEENS,NY,11420
QUEENS,NY,11421
QUEENS,NY,11422
QUEENS,NY,11423
QUEENS,NY,11424
QUEENS,NY,11425
QUEENS,NY,11426
QUEENS,NY,11427
QUEENS,NY,11428
QUEENS,NY,11429
QUEENS,NY,11430
QUEENS,NY,11431
QUEENS,NY,11432
QUEENS,NY,11433
QUEENS,NY,11434
QUEENS,NY,11435
QUEENS,NY,11436
QUEENS,NY,11439
QUEENS,NY,11451
QUEENS,NY,11690
QUEENS,NY,11691
QUEENS,NY,11692
QUEENS,NY,11693
QUEENS,NY,11694
QUEENS,NY,11695
QUEENS,NY,11697
STATEN ISLAND,NY,10301
STATEN ISLAND,NY,10302
STATEN ISLAND,NY,10303
STATEN ISLAND,NY,10304
STATEN ISLAND,NY,10305
STATEN ISLAND,NY,10306
STATEN ISLAND,NY,10307
STATEN ISLAND,NY,10308
STATEN ISLAND,NY,10309
STATEN ISLAND,NY,10310
STATEN ISLAND,NY,10311
STATEN ISLAND,NY,10312
STATEN ISLAND,NY,10313
STATEN ISLAND,NY,10314
